year,gdp_growth_pct,inflation_consumer_prices_pct,official_exchange_rate_lcu_per_usd
1990,-2.99999564243126,,
1991,-5.04693945142463,,
1992,-14.5310737729264,,
1993,-8.66854034260423,874.245720380188,0.991666666666667
1994,-12.5697559802151,307.722635553193,
1995,-4.1435284052602,197.414268084251,
1996,-3.7550694383594,47.7520122009939,5.12083333333333
1997,1.3999158052963,14.761329268806,5.78483333333334
1998,-5.2999616266239,27.6856798076742,9.70508333333333
1999,6.39991469144101,85.7464940960636,24.6199
2000,10.0000668136515,20.7987606558704,28.1291666666667
2001,5.10005122572568,21.4770072117159,29.168525
2002,4.69999190914258,15.7887307914463,31.3484833333333
2003,7.29995234528189,13.6632930228666,30.692025
2004,7.19994786954857,10.8886157326216,28.8137416666667
2005,6.39996544799469,12.6853039507349,28.2844416666667
2006,8.20006825456321,9.66865454789265,27.1909583333333
2007,8.49997776916511,9.00729868861079,25.5808453675404
2008,5.19996926404957,14.1107677840442,24.852875
2009,-7.79999391271275,11.6473295764118,31.7403583333333
2010,4.49999999920672,6.84939230255025,30.3679153383059
2011,4.30002918567749,8.4404648593257,29.3823413709302
2012,4.02408615746921,5.07474300799149,30.8398313519917
2013,1.75542214874298,6.75466833903486,31.8371436402813
2014,0.736267221765672,7.82016970013845,38.3782071444168
2015,-1.97271922580408,15.5343959935701,60.9376501088951
2016,0.193690071260534,7.04243725413707,67.0559333333333
2017,1.82579006401834,3.68333072334495,58.3428011851719
2018,2.80724541059601,2.87831382614981,62.6681333333334
2019,2.19807571335009,4.47202631837903,64.7376583333333
2020,-2.65365450102773,3.38219796948068,72.1049083333333
2021,5.86649177292595,6.69445891957612,73.65435
2022,-1.43588213859842,13.7436797398232,68.4849416666667
2023,4.08252481259281,5.86571931748967,85.1620083333333
2024,4.34437475491529,8.43486410496723,92.5524
