char_code,currency_name,year,observations,mean_rate_rub,median_rate_rub,min_rate_rub,max_rate_rub,first_rate_rub,last_rate_rub,std_rate_rub,mean_abs_daily_return_pct,max_abs_daily_return_pct,annualized_volatility_pct,extreme_return_days,annual_return_pct,rate_range_pct,gdp_growth_pct,inflation_consumer_prices_pct,official_exchange_rate_lcu_per_usd
CHF,Швейцарский франк,2014,247,42.01460769230769,40.1168,36.4137,70.3603,36.7613,56.9763,5.57328403235895,1.0118482486378368,13.418930845945788,29.31850692513968,10,54.98989426380461,93.22480275281006,0.736267221765672,7.82016970013845,38.3782071444168
CHF,Швейцарский франк,2015,247,63.722355060728745,64.4012,51.2429,76.3394,56.8459,73.5298,6.041188393228977,1.374041326379294,16.908282510328565,31.69918829518343,14,29.349346214942496,48.97556539540111,-1.97271922580408,15.5343959935701,60.9376501088951
CHF,Швейцарский франк,2016,248,67.8489241935484,66.5968,58.7743,83.2334,73.6517,59.4151,4.96962601488617,0.9239613661402287,5.300538043648295,20.844633701188425,0,-19.329628508235388,41.61529784276463,0.193690071260534,7.04243725413707,67.0559333333333
CHF,Швейцарский франк,2017,247,59.29631255060729,59.2784,55.7769,63.1463,58.9007,58.9743,1.733679682475175,0.562090158963745,2.5058554332345606,11.64284436645079,0,0.12495607013158772,13.212279635476332,1.82579006401834,3.68333072334495,58.3428011851719
CHF,Швейцарский франк,2018,247,64.27135263157895,63.6935,57.9277,71.9774,58.1275,70.5787,3.3606314232099006,0.6301441703461091,6.886347735327503,14.47354152637337,1,21.420498043094916,24.253854373641627,2.80724541059601,2.87831382614981,62.6681333333334
CHF,Швейцарский франк,2019,246,65.03854634146342,64.7019,62.6504,68.6171,68.4066,63.6039,1.2350397840930791,0.40032543566340756,3.0775573933778944,8.869983073252687,0,-7.020813781126378,9.523801923052355,2.19807571335009,4.47202631837903,64.7376583333333
CHF,Швейцарский франк,2020,243,77.34213744855967,78.5499,62.6386,87.7722,63.8994,83.5131,6.821088816822457,0.7902674215557228,8.14979880315101,18.04568593945027,1,30.694654409900558,40.12477928944773,-2.65365450102773,3.38219796948068,72.1049083333333
CHF,Швейцарский франк,2021,248,80.51774596774194,80.39195,75.4612,85.7254,83.7973,80.9376,1.9003974039284806,0.4565996936436273,2.6328689671610173,9.83467238677534,0,-3.412639786723448,13.601957032223154,5.86649177292595,6.69445891957612,73.65435
CHF,Швейцарский франк,2022,247,71.86618137651823,64.0441,53.5406,129.8441,81.5583,76.1805,15.820706478080766,1.6225327481559326,12.133792668468345,40.38947205229189,18,-6.593810807728961,142.5152127544331,-1.43588213859842,13.7436797398232,68.4849416666667
CHF,Швейцарский франк,2023,247,95.78792226720648,99.3781,72.7702,115.224,76.0413,106.7591,11.501421835774083,0.6956762419653848,3.4708914809414737,14.945594990579075,2,40.39620574608798,58.339540086463956,4.08252481259281,5.86571931748967,85.1620083333333
CHF,Швейцарский франк,2024,248,105.25575806451613,103.8238,93.4391,123.8592,106.3952,112.9774,6.06729450870152,0.6425601803417859,4.559123046783242,14.700061591428968,3,6.186557288298711,32.55607128065232,4.34437475491529,8.43486410496723,92.5524
CHF,Швейцарский франк,2025,247,100.28322914979758,99.4883,92.6578,112.9359,112.2105,99.1969,3.9962524933200094,0.7200601228916024,3.3358246841155292,15.652087387965741,0,-11.597488648566756,21.884935752845426,,,
CHF,Швейцарский франк,2026,105,97.48591142857144,98.3797,89.7885,106.7949,98.8723,89.8846,3.967029682421639,0.7237206692328471,3.116011190349499,14.374635775493664,0,-9.0902103015708,18.940510198967566,,,
CNY,Юань,2014,247,6.26448028340081,5.82743,5.3960799999999995,10.9384,5.3960799999999995,9.07072,1.0404720531415623,0.9243783756527815,12.332699480728426,28.246063310921766,9,68.09832322723165,102.71011549124549,0.736267221765672,7.82016970013845,38.3782071444168
CNY,Юань,2015,247,9.744524696356274,9.97588,7.92307,11.2298,9.06167,11.2298,0.874388663305793,1.248062209822069,11.604152435478255,27.229839654247456,7,23.926384430242997,41.73546365234686,-1.97271922580408,15.5343959935701,60.9376501088951
CNY,Юань,2016,248,10.06379927419355,9.770185,8.666889999999999,12.705,11.2304,8.72824,0.876716803056849,0.8577019498075439,5.200837963384641,19.481111940305816,3,-22.280239350334806,46.592376273380665,0.193690071260534,7.04243725413707,67.0559333333333
