year,indicator_id,indicator_name,metric,value,last_updated
1975,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1974,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1973,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1972,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1971,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1970,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1969,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1968,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1967,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1966,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1965,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1964,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1963,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1962,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1961,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
1960,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",inflation_consumer_prices_pct,,2026-04-08
2025,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,,2026-04-08
2024,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,4.34437475491529,2026-04-08
2023,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,4.08252481259281,2026-04-08
2022,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-1.43588213859842,2026-04-08
2021,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,5.86649177292595,2026-04-08
2020,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-2.65365450102773,2026-04-08
2019,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,2.19807571335009,2026-04-08
2018,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,2.80724541059601,2026-04-08
2017,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,1.82579006401834,2026-04-08
2016,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,0.193690071260534,2026-04-08
2015,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-1.97271922580408,2026-04-08
2014,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,0.736267221765672,2026-04-08
2013,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,1.75542214874298,2026-04-08
2012,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,4.02408615746921,2026-04-08
2011,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,4.30002918567749,2026-04-08
2010,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,4.49999999920672,2026-04-08
2009,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,-7.79999391271275,2026-04-08
2008,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,5.19996926404957,2026-04-08
2007,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,8.49997776916511,2026-04-08
2006,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,8.20006825456321,2026-04-08
2005,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,6.39996544799469,2026-04-08
2004,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,7.19994786954857,2026-04-08
2003,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,7.29995234528189,2026-04-08
2002,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,4.69999190914258,2026-04-08
2001,NY.GDP.MKTP.KD.ZG,GDP growth (annual %),gdp_growth_pct,5.10005122572568,2026-04-08
